행정구역,kids,policy,live,life,wealth,city,edu,safe,foreign,cluster
중구_회현동,0.19786356370986036,0.068026697839285,0.7302185454714645,0.29999999999999993,0.1907769699482545,0.8501359463714503,0.1335121862388614,0.6653562048831815,0.3467154031358061,3
은평구_대조동,0.1963019311265688,0.2584467740110864,0.3067421382264418,0.4999999999999999,0.136775645018627,0.6055126166143309,0.3611731813310889,0.72395393003091,0.0296889789982785,3
구로구_구로4동,0.17236382941055814,0.264828990535088,0.7136720734522439,0.19999999999999996,0.1258118668924557,1.0,0.5621114159343039,0.817582897877279,0.4478331137738001,3
영등포구_영등포동,0.14858261751266308,0.5112749349522984,0.4539693112643647,0.29999999999999993,0.2782319999259619,0.7652748328026964,0.4281830907264102,0.6717443218621325,0.062355584955387,3
중랑구_상봉2동,0.1474832165167583,0.4967758965270183,0.3185020940818061,0.39999999999999997,0.127982154659569,0.5939682967222223,0.2532604282735251,0.7494715013882819,0.0446173254263593,3
강북구_수유3동,0.13520625572775316,0.061408801236849,0.1058064849326861,0.19999999999999996,0.0395225048408856,0.6592432190734121,0.3214743863059788,0.462837256137711,0.0890178989807837,3
중구_명동,0.13514110094741633,0.068026697839285,0.3446300618537701,0.29999999999999993,0.1664730141955542,0.7675320511747554,0.0965148334256829,0.6653562048831815,0.6620102474765177,3
강남구_논현1동,0.12032669003553659,1.0,0.2886848301696137,0.4999999999999999,0.665526541414293,0.5642114755688958,0.2937885248201306,1.0,0.0810670322684452,3
종로구_창신1동,0.11369057466390724,0.0760775293186017,0.4904417006094514,1.0,0.3224591541559304,0.817149624530133,0.1435873293460253,0.42990536590238937,0.3657419240712831,3
종로구_종로1.2.3.4가동,0.10544400615217783,0.0760775293186017,0.3820762235332072,1.0,0.3141360013130418,0.6239661769105721,0.1319700248511762,0.42990536590238937,0.6070395916121164,3
종로구_종로5.6가동,0.09169372211624141,0.0760775293186017,0.1584547748103089,1.0,0.4425340784707222,0.9819966808154712,0.0602974496187791,0.42990536590238937,0.2366030543824562,3
종로구_숭인2동,0.08836906420505299,0.0760775293186017,0.4459101881881951,1.0,0.3106050223337295,0.8820836276499874,0.2623887869417786,0.42990536590238937,0.1772491567469962,3
중구_광희동,0.08409289988683603,0.068026697839285,0.5774260203501231,0.29999999999999993,0.2672055211798458,0.8530014167205959,0.1504022820883559,0.6653562048831815,0.5931240294895205,3
중구_을지로동,0.0710483547745161,0.068026697839285,0.3560350144644807,0.29999999999999993,0.3472645656479811,0.8362299503867241,0.0,0.6653562048831815,0.3505889946474327,3
관악구_신림동,0.0,0.0580715713262189,0.1090890486067567,0.0,0.0995612078117344,0.8125987720413772,0.3856552061783515,0.8103305682746573,0.0872879776756037,3
