,구,동별,2022_pub_per
0,종로구,사직동,9.090909090909092
1,종로구,삼청동,33.33333333333333
2,종로구,부암동,66.66666666666666
3,종로구,평창동,33.33333333333333
4,종로구,무악동,100.0
5,종로구,교남동,66.66666666666666
6,종로구,가회동,25.0
7,종로구,종로1.2.3.4가동,8.333333333333332
8,종로구,종로5.6가동,25.0
9,종로구,이화동,33.33333333333333
10,종로구,창신1동,33.33333333333333
11,종로구,창신2동,100.0
12,종로구,창신3동,100.0
13,종로구,숭인1동,100.0
14,종로구,숭인2동,100.0
15,종로구,청운효자동,75.0
16,종로구,혜화동,100.0
17,중구,소공동,0.0
18,중구,회현동,12.5
19,중구,명동,0.0
20,중구,필동,100.0
21,중구,장충동,50.0
22,중구,광희동,50.0
23,중구,을지로동,0.0
24,중구,신당5동,50.0
25,중구,황학동,66.66666666666666
26,중구,중림동,50.0
27,중구,신당동,100.0
28,중구,다산동,25.0
29,중구,약수동,42.857142857142854
30,중구,청구동,50.0
31,중구,동화동,100.0
32,용산구,후암동,22.22222222222222
33,용산구,용산2가동,100.0
34,용산구,남영동,33.33333333333333
35,용산구,원효로2동,37.5
36,용산구,효창동,37.5
37,용산구,용문동,28.57142857142857
38,용산구,이촌1동,9.090909090909092
39,용산구,이촌2동,75.0
40,용산구,이태원1동,0.0
41,용산구,이태원2동,100.0
42,용산구,서빙고동,33.33333333333333
43,용산구,보광동,40.0
44,용산구,청파동,22.22222222222222
45,용산구,원효로1동,44.44444444444444
46,용산구,한강로동,40.0
47,용산구,한남동,28.57142857142857
48,성동구,왕십리2동,77.77777777777779
49,성동구,마장동,50.0
50,성동구,사근동,66.66666666666666
51,성동구,행당1동,55.55555555555556
52,성동구,행당2동,23.076923076923077
53,성동구,응봉동,50.0
54,성동구,금호1가동,50.0
55,성동구,금호4가동,37.5
56,성동구,성수1가1동,66.66666666666666
57,성동구,성수1가2동,42.857142857142854
58,성동구,성수2가1동,33.33333333333333
59,성동구,성수2가3동,66.66666666666666
60,성동구,송정동,40.0
61,성동구,용답동,40.0
62,성동구,왕십리도선동,68.75
63,성동구,금호2.3가동,60.0
64,성동구,옥수동,66.66666666666666
65,광진구,화양동,40.0
66,광진구,군자동,40.0
67,광진구,중곡1동,66.66666666666666
68,광진구,중곡2동,36.36363636363637
69,광진구,중곡3동,27.27272727272727
70,광진구,중곡4동,27.27272727272727
71,광진구,능동,75.0
72,광진구,구의1동,42.857142857142854
73,광진구,구의2동,20.0
74,광진구,구의3동,40.0
75,광진구,광장동,47.05882352941176
76,광진구,자양1동,33.33333333333333
77,광진구,자양2동,40.0
78,광진구,자양3동,26.666666666666668
79,광진구,자양4동,44.44444444444444
80,동대문구,회기동,40.0
81,동대문구,휘경1동,28.57142857142857
82,동대문구,휘경2동,30.76923076923077
83,동대문구,청량리동,37.5
84,동대문구,용신동,42.857142857142854
85,동대문구,제기동,60.0
86,동대문구,전농1동,46.666666666666664
87,동대문구,전농2동,46.15384615384615
88,동대문구,답십리1동,50.0
89,동대문구,답십리2동,33.33333333333333
90,동대문구,장안1동,37.5
91,동대문구,장안2동,40.0
92,동대문구,이문1동,50.0
93,동대문구,이문2동,46.15384615384615
94,중랑구,면목2동,30.0
95,중랑구,면목4동,28.57142857142857
96,중랑구,면목5동,60.0
97,중랑구,면목7동,44.44444444444444
98,중랑구,상봉1동,45.45454545454545
99,중랑구,상봉2동,25.0
100,중랑구,중화1동,25.0
101,중랑구,중화2동,60.0
102,중랑구,묵1동,25.0
103,중랑구,묵2동,27.27272727272727
104,중랑구,망우3동,16.666666666666664
105,중랑구,신내1동,34.375
106,중랑구,신내2동,23.52941176470588
107,중랑구,면목본동,18.181818181818183
108,중랑구,면목3.8동,50.0
109,중랑구,망우본동,57.89473684210527
110,성북구,돈암1동,0.0
111,성북구,돈암2동,53.84615384615385
112,성북구,안암동,50.0
113,성북구,보문동,42.857142857142854
114,성북구,정릉1동,50.0
115,성북구,정릉2동,20.0
116,성북구,정릉3동,50.0
117,성북구,정릉4동,46.666666666666664
118,성북구,길음1동,23.809523809523807
119,성북구,길음2동,63.63636363636363
120,성북구,월곡1동,35.714285714285715
121,성북구,월곡2동,45.45454545454545
122,성북구,장위1동,37.5
123,성북구,장위2동,14.285714285714285
124,성북구,장위3동,40.0
125,성북구,성북동,50.0
126,성북구,삼선동,57.14285714285714
127,성북구,동선동,50.0
128,성북구,종암동,45.45454545454545
129,성북구,석관동,53.84615384615385
130,강북구,번1동,44.44444444444444
131,강북구,번2동,40.0
132,강북구,번3동,42.857142857142854
133,강북구,수유1동,33.33333333333333
134,강북구,수유2동,27.27272727272727
135,강북구,수유3동,12.5
136,강북구,삼양동,50.0
137,강북구,미아동,50.0
138,강북구,송중동,66.66666666666666
139,강북구,송천동,42.857142857142854
140,강북구,삼각산동,72.72727272727273
141,강북구,우이동,50.0
142,강북구,인수동,57.14285714285714
143,도봉구,쌍문1동,22.22222222222222
144,도봉구,쌍문2동,33.33333333333333
145,도봉구,쌍문3동,28.57142857142857
146,도봉구,쌍문4동,41.66666666666667
147,도봉구,방학1동,70.0
148,도봉구,방학2동,33.33333333333333
149,도봉구,방학3동,35.294117647058826
150,도봉구,창1동,38.46153846153847
151,도봉구,창2동,27.77777777777778
152,도봉구,창3동,55.55555555555556
153,도봉구,창4동,38.88888888888889
154,도봉구,창5동,25.0
155,도봉구,도봉1동,33.33333333333333
156,도봉구,도봉2동,52.38095238095239
157,노원구,월계1동,35.714285714285715
158,노원구,월계2동,53.333333333333336
159,노원구,월계3동,14.285714285714285
160,노원구,공릉2동,31.03448275862069
161,노원구,하계1동,40.0
162,노원구,하계2동,33.33333333333333
163,노원구,중계본동,40.0
164,노원구,중계1동,40.0
165,노원구,중계4동,14.285714285714285
166,노원구,상계1동,52.63157894736842
167,노원구,상계2동,25.0
168,노원구,상계5동,11.11111111111111
169,노원구,상계8동,25.0
170,노원구,상계9동,18.75
171,노원구,상계10동,27.27272727272727
172,노원구,상계3.4동,53.84615384615385
173,노원구,상계6.7동,20.833333333333336
174,노원구,중계2.3동,27.27272727272727
175,노원구,공릉1동,33.33333333333333
176,은평구,녹번동,36.84210526315789
177,은평구,불광1동,38.88888888888889
178,은평구,갈현1동,50.0
179,은평구,갈현2동,41.66666666666667
180,은평구,구산동,46.15384615384615
181,은평구,대조동,33.33333333333333
182,은평구,응암1동,46.15384615384615
183,은평구,응암2동,61.111111111111114
184,은평구,신사1동,27.27272727272727
185,은평구,신사2동,57.14285714285714
186,은평구,증산동,30.76923076923077
187,은평구,수색동,50.0
188,은평구,진관동,41.02564102564102
189,은평구,불광2동,37.5
190,은평구,응암3동,40.0
191,은평구,역촌동,35.0
192,서대문구,천연동,25.0
193,서대문구,홍제1동,33.33333333333333
194,서대문구,홍제3동,70.0
195,서대문구,홍제2동,50.0
196,서대문구,홍은1동,66.66666666666666
197,서대문구,홍은2동,42.857142857142854
198,서대문구,남가좌1동,53.84615384615385
199,서대문구,남가좌2동,41.17647058823529
200,서대문구,북가좌1동,50.0
201,서대문구,북가좌2동,40.0
202,서대문구,충현동,50.0
203,서대문구,북아현동,58.333333333333336
204,서대문구,신촌동,20.0
205,서대문구,연희동,45.45454545454545
206,마포구,용강동,33.33333333333333
207,마포구,대흥동,100.0
208,마포구,염리동,75.0
209,마포구,신수동,55.55555555555556
210,마포구,서교동,87.5
211,마포구,합정동,42.857142857142854
212,마포구,망원1동,36.36363636363637
213,마포구,망원2동,25.0
214,마포구,연남동,25.0
215,마포구,성산1동,20.0
216,마포구,성산2동,18.181818181818183
217,마포구,상암동,50.0
218,마포구,도화동,36.36363636363637
219,마포구,서강동,61.53846153846154
220,마포구,공덕동,42.857142857142854
221,마포구,아현동,52.38095238095239
222,양천구,목1동,30.0
223,양천구,목2동,25.0
224,양천구,목3동,38.46153846153847
225,양천구,목4동,60.0
226,양천구,신월1동,13.333333333333334
227,양천구,신월2동,17.647058823529413
228,양천구,신월3동,36.36363636363637
229,양천구,신월4동,25.0
230,양천구,신월5동,40.0
231,양천구,신월6동,50.0
232,양천구,신월7동,20.0
233,양천구,신정1동,22.22222222222222
234,양천구,신정2동,25.0
235,양천구,신정3동,68.75
236,양천구,신정6동,18.181818181818183
237,양천구,신정7동,46.666666666666664
238,양천구,목5동,26.666666666666668
239,양천구,신정4동,56.25
240,강서구,염창동,27.586206896551722
241,강서구,등촌1동,33.33333333333333
242,강서구,등촌2동,20.0
243,강서구,등촌3동,53.333333333333336
244,강서구,화곡본동,18.181818181818183
245,강서구,화곡2동,37.5
246,강서구,화곡3동,36.36363636363637
247,강서구,화곡4동,18.181818181818183
248,강서구,화곡6동,25.0
249,강서구,화곡8동,28.57142857142857
250,강서구,가양1동,13.636363636363635
251,강서구,가양2동,50.0
252,강서구,가양3동,33.33333333333333
253,강서구,발산1동,29.629629629629626
254,강서구,공항동,41.17647058823529
255,강서구,방화1동,40.0
256,강서구,방화2동,33.33333333333333
257,강서구,방화3동,25.0
258,강서구,화곡1동,23.52941176470588
259,강서구,우장산동,21.73913043478261
260,구로구,신도림동,27.586206896551722
261,구로구,구로1동,19.047619047619047
262,구로구,구로3동,56.25
263,구로구,구로4동,40.0
264,구로구,구로5동,16.666666666666664
265,구로구,고척1동,35.714285714285715
266,구로구,고척2동,36.84210526315789
267,구로구,개봉2동,60.0
268,구로구,개봉3동,44.44444444444444
269,구로구,오류1동,33.33333333333333
270,구로구,오류2동,50.0
271,구로구,수궁동,16.666666666666664
272,구로구,가리봉동,66.66666666666666
273,구로구,구로2동,23.076923076923077
274,구로구,개봉1동,31.57894736842105
275,구로구,항동,52.63157894736842
276,금천구,가산동,30.0
277,금천구,독산1동,55.55555555555556
278,금천구,독산2동,50.0
279,금천구,독산3동,33.33333333333333
280,금천구,독산4동,30.0
281,금천구,시흥1동,38.88888888888889
282,금천구,시흥2동,71.42857142857143
283,금천구,시흥3동,66.66666666666666
284,금천구,시흥4동,23.076923076923077
285,금천구,시흥5동,28.57142857142857
286,영등포구,여의동,9.090909090909092
287,영등포구,당산1동,30.76923076923077
288,영등포구,당산2동,42.10526315789473
289,영등포구,양평1동,30.76923076923077
290,영등포구,양평2동,33.33333333333333
291,영등포구,신길1동,57.14285714285714
292,영등포구,신길3동,37.5
293,영등포구,신길4동,66.66666666666666
294,영등포구,신길5동,100.0
295,영등포구,신길6동,46.15384615384615
296,영등포구,신길7동,40.0
297,영등포구,대림1동,44.44444444444444
298,영등포구,대림2동,40.0
299,영등포구,대림3동,36.36363636363637
300,영등포구,영등포본동,33.33333333333333
301,영등포구,영등포동,66.66666666666666
302,영등포구,도림동,27.27272727272727
303,영등포구,문래동,41.66666666666667
304,동작구,노량진2동,0.0
305,동작구,상도1동,43.75
306,동작구,상도2동,41.17647058823529
307,동작구,상도3동,22.22222222222222
308,동작구,상도4동,28.57142857142857
309,동작구,사당1동,33.33333333333333
310,동작구,사당3동,63.63636363636363
311,동작구,사당4동,25.0
312,동작구,사당5동,33.33333333333333
313,동작구,대방동,45.45454545454545
314,동작구,신대방1동,36.36363636363637
315,동작구,신대방2동,53.84615384615385
316,동작구,흑석동,50.0
317,동작구,노량진1동,46.666666666666664
318,동작구,사당2동,43.75
319,관악구,보라매동,33.33333333333333
320,관악구,청림동,60.0
321,관악구,행운동,50.0
322,관악구,낙성대동,28.57142857142857
323,관악구,중앙동,100.0
324,관악구,인헌동,44.44444444444444
325,관악구,남현동,16.666666666666664
326,관악구,서원동,71.42857142857143
327,관악구,신원동,33.33333333333333
328,관악구,서림동,14.285714285714285
329,관악구,신사동,44.44444444444444
330,관악구,신림동,66.66666666666666
331,관악구,난향동,27.27272727272727
332,관악구,조원동,62.5
333,관악구,대학동,20.0
334,관악구,은천동,46.666666666666664
335,관악구,성현동,33.33333333333333
336,관악구,청룡동,54.54545454545454
337,관악구,난곡동,45.45454545454545
338,관악구,삼성동,80.0
339,관악구,미성동,45.45454545454545
340,서초구,서초1동,36.36363636363637
341,서초구,서초2동,50.0
342,서초구,서초3동,36.36363636363637
343,서초구,서초4동,70.0
344,서초구,잠원동,44.44444444444444
345,서초구,반포본동,
346,서초구,반포1동,66.66666666666666
347,서초구,반포2동,57.14285714285714
348,서초구,반포3동,55.55555555555556
349,서초구,반포4동,50.0
350,서초구,방배본동,60.0
351,서초구,방배1동,40.0
352,서초구,방배2동,55.55555555555556
353,서초구,방배3동,83.33333333333334
354,서초구,방배4동,33.33333333333333
355,서초구,양재1동,41.66666666666667
356,서초구,양재2동,60.0
357,서초구,내곡동,62.5
358,강남구,신사동,66.66666666666666
359,강남구,개포3동,37.5
360,강남구,논현1동,50.0
361,강남구,논현2동,25.0
362,강남구,삼성1동,28.57142857142857
363,강남구,삼성2동,30.76923076923077
364,강남구,대치1동,33.33333333333333
365,강남구,대치4동,25.0
366,강남구,역삼1동,7.6923076923076925
367,강남구,역삼2동,15.384615384615385
368,강남구,도곡1동,20.0
369,강남구,도곡2동,50.0
370,강남구,개포1동,
371,강남구,개포4동,33.33333333333333
372,강남구,일원본동,37.5
373,강남구,일원1동,22.22222222222222
374,강남구,일원2동,
375,강남구,수서동,42.857142857142854
376,강남구,세곡동,46.666666666666664
377,강남구,압구정동,60.0
378,강남구,청담동,50.0
379,강남구,대치2동,27.27272727272727
380,강남구,개포2동,57.14285714285714
381,송파구,풍납1동,33.33333333333333
382,송파구,풍납2동,33.33333333333333
383,송파구,거여1동,55.55555555555556
384,송파구,거여2동,47.05882352941176
385,송파구,마천1동,28.57142857142857
386,송파구,마천2동,18.181818181818183
387,송파구,방이1동,0.0
388,송파구,방이2동,25.0
389,송파구,오륜동,0.0
390,송파구,오금동,31.57894736842105
391,송파구,송파1동,25.0
392,송파구,송파2동,14.285714285714285
393,송파구,석촌동,30.76923076923077
394,송파구,삼전동,27.27272727272727
395,송파구,가락본동,42.857142857142854
396,송파구,가락1동,64.28571428571429
397,송파구,가락2동,11.11111111111111
398,송파구,문정1동,25.0
399,송파구,문정2동,25.0
400,송파구,잠실본동,28.57142857142857
401,송파구,잠실4동,11.76470588235294
402,송파구,잠실6동,9.090909090909092
403,송파구,잠실7동,
404,송파구,잠실2동,28.57142857142857
405,송파구,잠실3동,6.25
406,송파구,장지동,52.17391304347826
407,송파구,위례동,54.54545454545454
408,강동구,강일동,37.93103448275862
409,강동구,명일1동,30.76923076923077
410,강동구,명일2동,12.5
411,강동구,고덕1동,22.22222222222222
412,강동구,고덕2동,50.0
413,강동구,암사2동,21.428571428571427
414,강동구,암사3동,44.44444444444444
415,강동구,천호1동,37.5
416,강동구,천호3동,37.5
417,강동구,성내1동,38.46153846153847
418,강동구,성내2동,22.22222222222222
419,강동구,성내3동,36.36363636363637
420,강동구,둔촌1동,
421,강동구,둔촌2동,33.33333333333333
422,강동구,암사1동,23.52941176470588
423,강동구,천호2동,50.0
424,강동구,길동,35.294117647058826
425,강동구,상일1동,61.53846153846154
426,강동구,상일2동,46.666666666666664
