구별,16_예산액,16_집행액,17_예산액,17_집행액,18_예산액,18_집행액,19_예산액,19_집행액,20_예산액,20_집행액
종로구,0.02702702702702703,0.09570957095709572,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322093,0.12381686110499669,0.133105039827291
중구,0.0,0.10176017601760176,0.04793050587634134,0.037943015983321754,0.1802116402116402,0.21568627450980393,0.10869565217391304,0.16307657606856885,0.15001100594320935,0.21692845976326955
용산구,0.16216216216216217,0.15577557755775578,0.08175779253960143,0.08561501042390549,0.0,0.0,0.0,0.0013533325814818991,0.25544794188861986,0.2972530335740341
성동구,0.0891891891891892,0.12255225522552256,0.050076647930505876,0.08311327310632384,0.033862433862433865,0.044677871148459385,0.028985507246376812,0.04014886658396301,0.020360994937266123,0.013995384500856101
광진구,0.22612612612612612,0.27183718371837184,0.20439448134900357,0.2030576789437109,0.14814814814814814,0.33907563025210086,0.2617753623188406,0.19138378256456523,0.07429011666299802,0.08672671778456041
동대문구,0.22522522522522523,0.24994499449944996,0.20439448134900357,0.21320361362056983,0.15873015873015872,0.13025210084033614,0.47880434782608694,0.4659975188902673,0.3989654413383227,0.4017717561229807
중랑구,0.6216216216216216,0.7607260726072608,0.6540623403168114,0.6810284920083391,0.6455026455026455,0.5901960784313726,0.5072463768115942,0.45426863651742416,0.21120405018710103,0.2895109059778158
성북구,0.3819369369369369,0.384048404840484,0.35508431272355645,0.3320361362056984,0.3380952380952381,0.3673669467787115,0.223731884057971,0.2657042968309462,0.11281091789566366,0.17360232263827888
강북구,0.22207207207207208,0.22794279427942793,0.19253960143076138,0.15691452397498262,0.08825396825396825,0.026470588235294117,0.051086956521739134,0.0,0.0,0.0
도봉구,0.23873873873873874,0.22343234323432343,0.21461420541645376,0.1911049339819319,0.14814814814814814,0.11470588235294117,0.12681159420289856,0.08616217435434759,0.07704160246533127,0.06327700439216855
노원구,0.35135135135135137,0.3458745874587459,0.26980071538068473,0.2786657400972898,0.19047619047619047,0.14761904761904762,0.16304347826086957,0.08277884290064283,0.09399075500770417,0.0798779126032904
은평구,0.2928828828828829,0.3174367436743674,0.2493101686254471,0.25218902015288397,0.2264021164021164,0.16491596638655462,0.41580615942028987,0.3666967407240329,0.20784723750825446,0.22288394252959132
서대문구,0.23423423423423423,0.2583058305830583,0.18395503321410323,0.20250173731758164,0.15873015873015872,0.10784313725490197,0.10416666666666667,0.043983308898161724,0.033017829627999117,0.013995384500856101
마포구,0.3153153153153153,0.32607260726072607,0.3065917220235054,0.2936761640027797,0.6676190476190477,0.7215686274509804,0.5576086956521739,0.5060899966166685,0.29440898084965883,0.27387776371622125
양천구,0.6216216216216216,0.775027502750275,0.7108840061318344,0.7357887421820709,0.7043386243386244,0.527170868347339,0.5271739130434783,0.35502424720875153,0.28340303764032576,0.2542991141219385
강서구,0.08738738738738738,0.0,0.6055186509964231,0.5480194579569145,0.5703703703703704,0.4466386554621849,1.0,1.0,0.4306075280651552,0.5592942752921909
구로구,0.4448648648648649,0.4936193619361936,0.45355135411343894,0.43502432244614314,0.328042328042328,0.3047619047619048,0.22282608695652173,0.17514379158678245,0.08804754567466432,0.12446958981612447
금천구,0.26666666666666666,0.27766776677667765,0.22483392948390393,0.24113968033356498,0.1693121693121693,0.18207282913165265,0.14492753623188406,0.07048607195218225,0.16316310807836232,0.15022705278046602
영등포구,0.15765765765765766,0.18393839383938393,0.11650485436893204,0.13870743571924948,0.9378835978835979,1.0,0.7114130434782608,0.9507161384910342,0.550297160466652,0.48656294200848654
동작구,0.12162162162162163,0.08063806380638064,0.3106796116504854,0.23766504517025713,0.2582010582010582,0.16442577030812325,0.8931159420289855,0.6748618472989737,0.3714505833149901,0.5024938584083972
관악구,0.1891891891891892,0.20352035203520352,0.13285641287685232,0.1242529534398888,0.09523809523809523,0.02100840336134454,0.01358695652173913,0.07195218224878763,0.061633281972265024,0.07444353457902181
서초구,0.8828828828828829,0.8822882288228823,0.8686765457332652,0.7488533703961084,0.6201058201058202,0.69593837535014,0.4076086956521739,0.43656253524303595,0.5428681488003522,0.4719720092309983
강남구,1.0,1.0,1.0,1.0,1.0,0.9373949579831933,0.6359601449275363,0.8482011954437803,1.0,1.0
송파구,0.5855855855855856,0.6949394939493949,0.6131834440470108,0.7135510771369006,0.5502645502645502,0.5942577030812325,0.47101449275362317,0.4682530731927371,0.2889060092449923,0.2293605300379662
강동구,0.32657657657657657,0.23003300330033002,0.5518650996423097,0.41709520500347463,0.42433862433862435,0.3198879551820728,0.30471014492753623,0.20063155520469156,0.3016729033678186,0.24908806670140698
