,구별,16_예산액,16_집행액,17_예산액,17_집행액,18_예산액,18_집행액,19_예산액,19_집행액,20_예산액,20_집행액,16_effect,17_effect,18_effect,19_effect,20_effect
0,종로구,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222223,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333
1,중구,150000,216500,246900,186800,400300,346600,350000,350000,497600,469600,1.4433333333333334,0.7565816119886594,0.8658506120409692,1.0,0.9437299035369775
2,용산구,330000,265600,280000,221100,230000,192600,230000,206600,689200,577500,0.8048484848484848,0.7896428571428571,0.837391304347826,0.8982608695652174,0.837928032501451
3,성동구,249000,235400,249000,219300,262000,224500,262000,241000,262000,197000,0.9453815261044177,0.880722891566265,0.8568702290076335,0.9198473282442748,0.7519083969465649
4,광진구,401000,371100,400000,305600,370000,434700,519000,375100,360000,294700,0.9254364089775561,0.764,1.174864864864865,0.7227360308285163,0.8186111111111111
5,동대문구,400000,351200,400000,312900,380000,285600,758600,618600,950000,717900,0.878,0.78225,0.751578947368421,0.8154495122594253,0.7556842105263157
6,중랑구,840000,815500,840000,649500,840000,614000,790000,608200,608800,567100,0.9708333333333333,0.7732142857142857,0.7309523809523809,0.769873417721519,0.9315045992115637
7,성북구,573950,473100,547450,398400,549500,454900,477000,441000,430000,411400,0.8242878299503441,0.7277376929399946,0.8278434940855323,0.9245283018867925,0.9567441860465117
8,강북구,396500,331200,388400,272400,313400,211500,286400,205400,225000,178200,0.8353089533417403,0.7013388259526262,0.6748564135290364,0.7171787709497207,0.792
9,도봉구,415000,327100,410000,297000,370000,274500,370000,281800,365000,263200,0.7881927710843374,0.724390243902439,0.7418918918918919,0.7616216216216216,0.7210958904109589
10,노원구,540000,438400,464000,360000,410000,298000,410000,278800,395800,285500,0.8118518518518518,0.7758620689655172,0.7268292682926829,0.68,0.7213239009600808
11,은평구,475100,412550,443950,340950,443950,310350,689050,530550,602700,477600,0.8683435066301831,0.7679918909787138,0.6990652100461764,0.7699731514403889,0.7924340467894475
12,서대문구,410000,358800,380000,305200,380000,269600,345000,244400,285000,197000,0.8751219512195122,0.8031578947368421,0.7094736842105264,0.7084057971014492,0.6912280701754386
13,마포구,500000,420400,500000,370800,860900,707800,845600,654150,760000,546100,0.8408,0.7416,0.8221628528284354,0.7735927152317881,0.7185526315789473
14,양천구,840000,828500,895600,688900,895600,569000,812000,520200,740000,519800,0.9863095238095239,0.7692050022331398,0.635328271549799,0.6406403940886699,0.7024324324324325
15,강서구,247000,124000,792500,553800,769000,511500,1334000,1092100,1007500,929500,0.5020242914979757,0.698801261829653,0.665149544863459,0.8186656671664168,0.9225806451612903
16,구로구,643800,572700,643800,472500,540000,410200,476000,360700,385000,345400,0.8895619757688723,0.733923578751165,0.7596296296296297,0.7577731092436975,0.8971428571428571
17,금천구,446000,376400,420000,333000,390000,322600,390000,267900,521500,380000,0.8439461883408071,0.7928571428571428,0.8271794871794872,0.686923076923077,0.7286673058485139
18,영등포구,325000,291200,314000,259300,1116300,906600,1015400,1048400,1225000,831800,0.896,0.825796178343949,0.8121472722386456,1.0324995075832184,0.6790204081632653
19,동작구,285000,197300,504000,330500,474000,310000,1216000,803800,900000,853200,0.6922807017543859,0.6557539682539683,0.6540084388185654,0.6610197368421052,0.948
20,관악구,360000,309000,330000,248900,320000,207600,245000,269200,337000,278200,0.8583333333333333,0.7542424242424243,0.64875,1.0987755102040817,0.8255192878338279
21,서초구,1130000,926000,1050000,698300,816000,689500,680000,592500,1211500,812200,0.8194690265486726,0.665047619047619,0.8449754901960784,0.8713235294117647,0.6704085843995048
22,강남구,1260000,1033000,1178500,879000,1175000,861900,932100,957500,2042200,1521500,0.8198412698412698,0.745863385659737,0.733531914893617,1.0272502950327218,0.7450298697483106
23,송파구,800000,755700,800000,672900,750000,616900,750000,620600,750000,486300,0.944625,0.841125,0.8225333333333333,0.8274666666666667,0.6484
24,강동구,512500,333100,740000,459600,631000,421000,566400,383300,773200,512800,0.6499512195121951,0.6210810810810811,0.6671949286846276,0.6767302259887006,0.6632177961717538
