법정동명,mean_vlue/m**2,공시지가(원/㎡)
가락동,1231.7903965010369,7228324
가리봉동,573.0541634296474,3618488
가산동,802.2711024615851,3283833
가양동,1114.016098741508,4120376
가회동,1533.384690128132,5830060
갈월동,1335.768499329385,8354295
갈현동,622.6874772448348,3460446
강일동,867.5673543264676,1194059
개봉동,642.198913673007,3060889
개포동,1912.115505452532,5656751
개화동,796.8888699950389,465778
거여동,1147.1020641316406,5099937
견지동,759.1113341787506,10487925
경운동,828.7244641306623,8589638
계동,1361.003456051058,5358275
고덕동,1396.8442176257818,2845406
고척동,672.0507071318708,3003624
공덕동,1241.1461114014626,6266846
공릉동,740.4359743503127,2864964
공항동,701.7873081100278,3102955
관수동,2073.164158168522,15552127
관철동,783.48967330382,30128891
관훈동,2435.210008936551,14845283
광장동,1295.4765588286507,3137993
광희동1가,575.5312108048271,8629005
광희동2가,1165.609905031709,6156656
교남동,1822.1595974463876,9404432
교북동,1831.3681423821247,5265308
구기동,637.5192643603981,1963457
구로동,696.6223897545701,3432980
구산동,543.370428288608,2917409
구수동,895.8935096759025,5263892
구의동,827.1421901045115,4638931
군자동,805.0556878105668,4415365
궁동,562.0948177696125,1908495
권농동,2164.9448743664466,4253424
금호동1가,1318.6734230967393,3361905
금호동2가,1737.8418298201836,4278284
금호동3가,1299.535526445323,4649503
금호동4가,1688.4263297329924,4590225
길동,822.9579495967032,5085044
길음동,1176.7348329503216,4510509
낙원동,804.0610946073531,11985132
남가좌동,1070.1517716653825,4345656
남대문로5가,1215.1850373509826,12379761
남산동1가,2352.9411764705883,7232140
남산동2가,730.93005535929,5365225
남영동,1899.957815478749,13131051
남창동,981.8129401863296,18843794
남학동,743.3470439565885,4997523
남현동,801.6166559919404,5085995
내곡동,1761.729145593417,1095656
내발산동,845.104806500137,3657625
내수동,873.5055637674698,8385697
내자동,4830.377435064935,8757721
냉천동,1345.1636773815278,5074536
노고산동,1225.283604094251,8376279
노량진동,1240.5563738008996,5552791
녹번동,765.060542911297,3335902
논현동,1294.121791859783,12784535
누상동,616.604373215851,4051100
누하동,1249.43569640305,5636537
능동,832.0587869353105,4531540
답십리동,1033.0427906135849,3663141
당산동,1020.9521095765512,3041936
당산동1가,1042.921137048827,5091546
당산동2가,1091.2138765111958,5575943
당산동3가,1107.8635727421556,5994480
당산동4가,1254.0973739952483,5081568
당산동5가,1066.7141529213282,5299819
당산동6가,939.0529538324585,4720095
당인동,932.3784550347522,4547843
당주동,822.3889355359054,17904133
대림동,823.3275678818814,3914819
대방동,1075.2217532134002,4393309
대신동,943.4122560239196,4736603
대조동,763.8837515335712,4465233
대치동,1886.515444461065,14165490
대현동,1103.644254004065,12950220
대흥동,1386.5771267591433,6337586
도곡동,1885.62988967911,9799314
도림동,807.8053981779913,3062735
도봉동,532.6873917172597,2027797
도선동,1016.107407526622,6824988
도원동,1414.8956273578433,6191617
도화동,1115.1496541313893,7795204
독산동,754.856102141633,3207780
돈암동,897.6260351161326,2410076
돈의동,648.6826337557226,8505646
동교동,869.8741266833235,10523328
동빙고동,2205.0448863415304,7280596
동선동1가,708.3312490851654,8919875
동선동2가,450.1770742497656,4858869
동선동3가,613.7847632849428,4438996
동선동4가,796.0232220542408,5369897
동선동5가,625.9874664759185,4244553
동소문동1가,915.4786009604542,5798769
동소문동2가,1682.6015779785096,5446829
동소문동4가,700.8972910936039,5309619
동소문동5가,1199.83200078494,7176403
동소문동6가,1006.05467867296,5324522
동소문동7가,906.9519107494524,4115689
동숭동,599.5608951697823,4965289
동자동,1227.583988671282,8907169
동작동,1242.2933419704775,2184721
둔촌동,945.9660914501374,3221826
등촌동,834.6121402049974,4463036
마곡동,933.6486568257652,3326536
마장동,1016.7543497189868,4140911
마천동,984.84556099089,4029438
마포동,1050.6375229952414,5455173
만리동1가,1080.7413963066176,4744875
만리동2가,1743.0261841152624,4026661
망우동,585.9538380154931,2855358
망원동,837.5041557441025,5993873
면목동,695.504848177,3292185
명륜1가,771.8894372439862,4202754
명륜2가,1081.8847458031569,7989941
명륜3가,560.1171860886898,3144261
명륜4가,1072.6897972692284,7883817
명일동,1178.266778247821,5320753
목동,899.1160451080611,4233746
무악동,1353.994048077275,2781223
묵동,695.8500263054375,3407194
묵정동,805.4203602030348,6788362
문래동1가,1457.4121249574598,4271870
문래동2가,1381.707991364562,4859475
문래동3가,1173.6265729607032,5401039
문래동4가,1160.339145685193,4828944
문래동5가,873.5669134952815,3043660
문래동6가,895.4314753305616,4442829
문배동,1144.3851060101374,6859468
문정동,1012.2710763093386,6740320
미근동,1176.4710652546037,5693233
미아동,692.6105222329063,3204971
반포동,2372.468261623109,11590393
방배동,1481.6187633655054,8091237
방이동,1024.4369475819906,7267954
방학동,503.0257015066834,2561233
방화동,789.7924485825091,2791043
번동,525.434232321233,2539233
보광동,2156.371204011263,7741279
보문동1가,1886.2427459854864,5215396
보문동2가,702.4595064727405,5718868
보문동3가,1090.962823707888,3283472
보문동4가,820.7974238092858,5726601
보문동5가,696.258375403158,4947783
보문동6가,1256.635030519665,3499797
보문동7가,677.0675223642487,4956896
본동,1422.83340133535,3590514
봉원동,807.4832107451232,1954289
봉익동,2176.1996798250752,10269396
봉천동,806.8917796392411,4311754
부암동,699.7049666236044,1617440
북가좌동,722.5211246433646,3545270
북아현동,1570.5711475026103,5354279
불광동,730.1375472343232,3378313
사간동,2569.9847298293,8321795
사근동,716.1024083236006,2828621
사당동,991.5366705908996,4897399
사직동,1102.9464453703054,3647355
산림동,2899.2044170575195,12887853
산천동,1361.1959073667947,4021927
삼선동1가,649.0864340825534,3082208
삼선동2가,987.2415158341178,4096800
삼선동3가,835.8034078430618,3980865
삼선동4가,1015.0103901206196,5222480
삼선동5가,584.1762407465378,5038083
삼성동,1744.527941826158,16915129
삼전동,877.7578180834014,8113298
삼청동,1205.6101801073407,6020450
상계동,826.6388574556761,2996730
상도1동,775.5085657199572,5233700
상도동,972.7869436050372,3863874
상봉동,832.7196836435054,3883186
상수동,1142.1666824270756,7329184
상암동,975.9959168581833,3298129
상왕십리동,1441.1360376562438,4201557
상월곡동,776.3333305842573,2984146
상일동,1354.4635981281338,3004126
서계동,1322.393374721407,5589952
서교동,959.4585504085244,10361044
서빙고동,1752.9330454286378,4440077
서초동,1229.374278465814,13214134
석관동,749.4491262300301,2846244
석촌동,947.7492045015752,7738296
성내동,889.4364396610185,5333507
성북동,945.4657326078224,3016819
성북동1가,765.1943822682449,4712896
성산동,917.915791011987,4572665
성수동1가,1701.5132846225515,6732515
성수동2가,1851.1903594414389,7064587
세곡동,1486.704173198996,1866622
소격동,2016.709881878421,8112283
송정동,789.0023859641193,3366596
송파동,1084.1492582982446,8521835
수색동,1106.065139813913,3742762
수서동,1897.7408177271225,3130956
수송동,915.4702032070986,11944135
수유동,478.87393232608434,2537031
순화동,1228.6114939786949,8555946
숭인동,808.7893940664007,4455881
시흥동,617.957082304496,2956398
신계동,1861.8237356812408,6834713
신공덕동,1247.7955510440518,6282956
신교동,633.7291681964701,3398296
신길동,1089.9089471149214,3865429
신내동,767.0216518930265,1692874
신당동,1073.5534024303704,4943881
신대방동,936.2905842668832,3981577
신도림동,1200.395652587139,3583558
신림동,682.3855607981033,4076320
신문로1가,1043.668943768537,18736678
신문로2가,1779.529325182729,8026942
신사동,733.023810499693,9210214
신설동,754.3008153984621,4694300
신수동,1158.3434512727656,5690878
신영동,692.7942785588605,2337544
신원동,1479.2750616746105,1611876
신월동,580.2523049697024,2787259
신정동,1033.6977677630327,3947604
신창동,1122.3389841460064,4871368
신천동,1978.1953811323003,9241201
신촌동,633.800596078614,2556672
쌍림동,1260.069508160579,6978050
쌍문동,532.102517459154,2448165
아현동,1625.7180330865174,6844603
안국동,2052.9663862760863,8156566
안암동1가,902.1308337446852,4294683
안암동2가,607.833295313323,4397303
안암동3가,602.1081368651292,4041789
안암동4가,523.705664209919,4697525
안암동5가,596.4348009823025,4592040
암사동,974.4904975935732,3491900
압구정동,2774.2474674297173,15717741
양재동,1028.1213955079072,8153751
양평동1가,1319.9684676440006,5477619
양평동2가,742.2686316361921,4397816
양평동3가,1031.3768830518136,4411149
양평동4가,937.7222176187306,5492633
양평동5가,1210.2701317088226,4965211
양평동6가,1022.7240222073942,4086628
여의도동,1173.0172486369047,13280386
역삼동,1322.408086974447,15494728
역촌동,580.9167444148013,3547146
연건동,775.2791078808634,5300250
연남동,1015.4121607842832,6806665
연지동,1049.8304032046656,6696630
연희동,698.3121072093611,3090212
염곡동,1125.3918590933415,1687427
염리동,1800.917030338866,6148047
염창동,1032.419637458082,3942474
영등포동,1194.716130211776,3804985
영등포동1가,1024.6425566858636,6026406
영등포동2가,1102.303919995852,6970065
영등포동3가,1111.6530820955884,14741264
영등포동4가,845.2936818173066,10682209
영등포동5가,1146.2733719974538,8461083
영등포동6가,1024.9160109325717,6862111
영등포동7가,1211.3860094083273,5887384
영등포동8가,1121.3079297226907,5324524
영천동,1094.0963517526925,4481242
예장동,755.4460384491591,3350189
오금동,943.6969939557114,5992059
오류동,598.2352643255365,2760357
오장동,1277.1136747415678,7776250
옥수동,1696.7726369264617,3601006
옥인동,1062.4437376179249,4395401
옥천동,842.5092531865249,4013832
온수동,664.6112116086218,2123509
와룡동,787.603402073867,6604417
외발산동,339.4393764554386,1399093
용강동,1348.7621955525738,7137482
용답동,861.4120347719335,4317803
용두동,935.5277352647277,4708817
용문동,1249.3955147063468,6789319
용산동2가,803.8227995512524,4794815
용산동3가,2786.650461090401,9106375
용산동5가,1862.926546322892,6734048
우면동,1294.6350529723356,2130238
우이동,501.7684906183548,1636748
운니동,859.7666247572604,8147021
원남동,888.4593276501652,5325127
원서동,638.8766206168292,4663602
원지동,1007.0507020004276,788429
원효로1가,1441.733063624139,6678737
원효로2가,1345.4652971410244,7511276
원효로3가,1254.0992121001718,6619616
원효로4가,1580.028467772567,5314955
월계동,860.2552761173621,2161189
율현동,1227.3940182968531,2067327
을지로2가,919.3892657550716,27268163
을지로3가,1320.1776893645572,17093859
을지로4가,945.5436881582616,13192779
을지로5가,591.0065401160022,11391939
을지로6가,647.1992355773806,14232462
을지로7가,1290.324185615129,8349547
응봉동,1068.314445926885,2539897
응암동,719.085695596915,3549913
의주로1가,670.5187480270243,9566312
이문동,1037.8602779076025,3763064
이촌동,1935.8255686346836,7667812
이태원동,1181.5803799291295,8192168
이화동,1025.5364422393147,3477113
익선동,777.8766823154655,8076124
인사동,3520.488573286905,18221124
인의동,974.634309700972,8976570
인현동1가,560.4982206405693,10129432
인현동2가,629.6995613846178,10428233
일원동,1984.0555525968728,5601653
입정동,3469.146863075754,16239267
자곡동,984.220491261872,2539945
자양동,1090.8548397042891,5451237
잠실동,1922.653502636596,9084991
잠원동,2544.630592324777,11488233
장사동,1727.0864279077664,15754261
장안동,763.7459916475977,4231734
장위동,801.1983206258221,3048408
장지동,1726.5472854343257,2046328
장충동1가,911.9757980710002,6349552
장충동2가,638.8884226504133,4353642
재동,2212.265825271429,8693452
저동1가,2019.192323070772,17244649
저동2가,1222.6762127617535,15013699
적선동,707.7049209082817,12668453
전농동,1072.8216214213203,3999820
정동,1719.725212677544,7611015
정릉동,648.6735237281611,2425943
제기동,839.6111746848766,3779825
종로1가,789.2902804451572,26732435
종로5가,3046.829266105023,16127122
종로6가,952.1844921035218,8348077
종암동,855.8958493928375,3091599
주교동,1498.1765987239496,11605438
주성동,2287.7446570195702,6473663
중계동,891.8056357168231,2385505
중곡동,698.1892376003262,3867653
중동,915.0337113809932,3593224
중림동,1278.8082519533273,6080401
중화동,654.6995386840099,3221803
증산동,896.3531620514227,3527015
진관동,869.9059807710659,1124116
창동,691.5816670151253,2926862
창성동,2120.064163249549,5193992
창신동,861.9684354259628,4394140
창전동,1239.6685208073677,6180828
창천동,829.6573479334778,8471406
천연동,1171.5005863961271,3744545
천왕동,834.2342550375841,1382214
천호동,849.6987062697801,5100748
청담동,1854.497481384189,17502559
청량리동,968.741964387394,4094676
청암동,999.9144808197392,3510279
청운동,985.2305866745238,3264165
청파동1가,1095.5438227219472,4830019
청파동2가,1197.4999575910404,5443441
청파동3가,1215.7824196803283,5679271
체부동,1067.3795943865898,6070976
충무로2가,1272.0851667044228,38786412
충무로3가,839.7887098876635,14829607
충무로4가,1072.479072524054,11174000
충무로5가,996.8601840907728,10097806
충신동,542.5337914605276,4395213
충정로2가,684.1153253023608,5609857
충정로3가,1217.9825112456383,4335526
토정동,1537.936682146409,2903280
통의동,1631.469840237324,6128090
통인동,1313.7453431344757,6280022
팔판동,2008.097217728421,7073940
평동,2244.317168184528,8507808
평창동,711.4837178068301,2486042
풍납동,1164.4707370274884,4031737
필동1가,768.3814492214079,9447352
필동2가,1102.1448459919727,7001762
필동3가,954.9651068487664,5248386
필운동,1009.0223705744836,5709412
하계동,892.1020419207891,2217797
하왕십리동,1364.1514342071478,4381817
하월곡동,919.9808704769372,3746841
하중동,1535.0275935207274,4191434
한강로1가,1244.5305002536104,12615489
한강로2가,1310.1049010040042,14617722
한강로3가,1575.5779043771302,13665723
한남동,1907.2545368826377,8385059
합동,821.1594905691142,5395851
합정동,985.5595800843574,6577590
항동,726.299785212252,1392163
행당동,1381.9421128742852,5267827
행촌동,583.4936820233288,2396871
현석동,1355.888355715335,3786754
현저동,1169.7738452142232,1500718
혜화동,886.9129597758186,4976233
홍은동,610.2091096424409,2495867
홍익동,978.8153624537316,5260771
홍제동,823.8656532784156,3167587
홍지동,528.2800271134405,2270606
홍파동,2083.9107363737694,3372397
화곡동,648.8367120682508,3712271
화동,1330.4174934376038,6922729
화양동,979.7409681554716,6190914
황학동,1038.6215577862524,6938012
회기동,792.6828429195173,4297213
회현동1가,1029.5442429456184,10535937
회현동2가,1031.0573641796063,7008893
효자동,1009.13543058723,4550903
효제동,1411.8159863917022,8187719
효창동,1371.9408545105837,5395758
후암동,986.7278012033024,4970125
휘경동,889.179989690663,3512721
흑석동,1634.878492886757,5166670
흥인동,863.180365678763,8657741
공평동,0.0,17801938
과해동,0.0,195634
궁정동,0.0,3545080
남대문로1가,0.0,28836250
남대문로2가,0.0,34361274
남대문로3가,0.0,27214864
남대문로4가,0.0,24231110
남산동3가,0.0,6595120
다동,0.0,24772905
도렴동,0.0,17633544
동소문동3가,0.0,7481305
명동1가,0.0,56673554
명동2가,0.0,70909034
묘동,0.0,14513453
무교동,0.0,28924637
무학동,0.0,9234462
방산동,0.0,14744665
봉래동1가,0.0,12885612
봉래동2가,0.0,10919480
북창동,0.0,14222409
삼각동,0.0,28269627
서린동,0.0,30301355
서소문동,0.0,16714589
세종로,0.0,25906605
소공동,0.0,26880679
송월동,0.0,3937642
송현동,0.0,7136891
수표동,0.0,18128074
수하동,0.0,25106904
양평동,0.0,431000
양화동,0.0,668425
예관동,0.0,10330805
예지동,0.0,15032351
오곡동,0.0,190460
오쇠동,0.0,237693
용산동1가,0.0,3794525
용산동4가,0.0,3732290
용산동6가,0.0,3178489
을지로1가,0.0,28892840
의주로2가,0.0,5014836
장교동,0.0,23379666
종로2가,0.0,42160368
종로3가,0.0,28669125
종로4가,0.0,19615287
주자동,0.0,4448350
중학동,0.0,11717491
청진동,0.0,17484509
초동,0.0,12468486
충무로1가,0.0,61937440
충정로1가,0.0,10300134
태평로1가,0.0,23369596
태평로2가,0.0,25308682
회현동3가,0.0,9335876
훈정동,0.0,2811046
